$02
01
Handheld device version M2.00.05
Sat Nov 11 03:37:20 2023
DCU3ER Id:  10551  [Probe Type; 11 FLUSH / BAND 020]
Time, Date, Loss (nm), Temperature (C)
05:27:00,20/09/22,00050837, 000.0
13:00:01,20/09/22,00050713, 000.0
21:00:01,20/09/22,00050590, 000.0
05:00:01,21/09/22,00050590, 000.0
13:00:01,21/09/22,00050837, 000.0
21:00:01,21/09/22,00050878, 000.0
05:00:01,22/09/22,00050919, 000.0
13:00:01,22/09/22,00050754, 000.0
21:00:01,22/09/22,00051001, 000.0
05:00:01,23/09/22,00051001, 000.0
13:00:01,23/09/22,00050713, 000.0
21:00:01,23/09/22,00050590, 000.0
05:00:01,24/09/22,00050795, 000.0
13:00:01,24/09/22,00051042, 000.0
21:00:01,24/09/22,00050795, 000.0
05:00:01,25/09/22,00050713, 000.0
13:00:01,25/09/22,00050754, 000.0
21:00:01,25/09/22,00050672, 000.0
05:00:01,26/09/22,00050837, 000.0
13:00:01,26/09/22,00050795, 000.0
21:00:01,26/09/22,00051124, 000.0
05:00:01,27/09/22,00051494, 000.0
13:00:01,27/09/22,00051453, 000.0
21:00:01,27/09/22,00051453, 000.0
05:00:01,28/09/22,00051535, 000.0
13:00:01,28/09/22,00051371, 000.0
21:00:01,28/09/22,00051535, 000.0
05:00:01,29/09/22,00051617, 000.0
13:00:01,29/09/22,00051494, 000.0
21:00:01,29/09/22,00051453, 000.0
05:00:01,30/09/22,00051658, 000.0
13:00:01,30/09/22,00051535, 000.0
21:00:01,30/09/22,00051699, 000.0
05:00:01,01/10/22,00051617, 000.0
13:00:01,01/10/22,00051617, 000.0
21:00:01,01/10/22,00051535, 000.0
05:00:01,02/10/22,00051535, 000.0
13:00:01,02/10/22,00051494, 000.0
21:00:01,02/10/22,00051412, 000.0
05:00:01,03/10/22,00051412, 000.0
13:00:01,03/10/22,00051576, 000.0
21:00:01,03/10/22,00051453, 000.0
05:00:01,04/10/22,00051412, 000.0
13:00:01,04/10/22,00051494, 000.0
21:00:01,04/10/22,00051494, 000.0
05:00:01,05/10/22,00051453, 000.0
13:00:01,05/10/22,00051453, 000.0
21:00:01,05/10/22,00051535, 000.0
05:00:01,06/10/22,00051494, 000.0
13:00:01,06/10/22,00051412, 000.0
21:00:01,06/10/22,00051535, 000.0
05:00:01,07/10/22,00051453, 000.0
13:00:01,07/10/22,00051453, 000.0
21:00:01,07/10/22,00051412, 000.0
05:00:01,08/10/22,00051412, 000.0
13:00:01,08/10/22,00051330, 000.0
21:00:01,08/10/22,00051412, 000.0
05:00:01,09/10/22,00051412, 000.0
13:00:01,09/10/22,00051330, 000.0
21:00:01,09/10/22,00051412, 000.0
05:00:01,10/10/22,00051412, 000.0
13:00:01,10/10/22,00051371, 000.0
21:00:01,10/10/22,00051289, 000.0
05:00:01,11/10/22,00051412, 000.0
14:00:01,11/10/22,00051494, 000.0
22:00:01,11/10/22,00051453, 000.0
06:00:01,12/10/22,00051453, 000.0
14:00:01,12/10/22,00051412, 000.0
22:00:01,12/10/22,00051412, 000.0
06:00:01,13/10/22,00051371, 000.0
14:00:01,13/10/22,00051412, 000.0
22:00:01,13/10/22,00051371, 000.0
06:00:01,14/10/22,00051371, 000.0
14:00:01,14/10/22,00051330, 000.0
22:00:01,14/10/22,00051371, 000.0
06:00:01,15/10/22,00051453, 000.0
14:00:01,15/10/22,00051453, 000.0
22:00:01,15/10/22,00051371, 000.0
06:00:01,16/10/22,00051412, 000.0
14:00:01,16/10/22,00051412, 000.0
22:00:01,16/10/22,00051453, 000.0
06:00:01,17/10/22,00051412, 000.0
14:00:01,17/10/22,00051330, 000.0
22:00:01,17/10/22,00051371, 000.0
06:00:01,18/10/22,00051289, 000.0
14:00:01,18/10/22,00051371, 000.0
22:00:01,18/10/22,00051371, 000.0
06:00:01,19/10/22,00051412, 000.0
14:00:01,19/10/22,00051289, 000.0
22:00:01,19/10/22,00051453, 000.0
06:00:01,20/10/22,00051658, 000.0
14:00:01,20/10/22,00051576, 000.0
22:00:01,20/10/22,00051412, 000.0
06:00:01,21/10/22,00051535, 000.0
14:00:01,21/10/22,00051617, 000.0
22:00:01,21/10/22,00051535, 000.0
06:00:01,22/10/22,00051617, 000.0
14:00:01,22/10/22,00051576, 000.0
22:00:01,22/10/22,00051699, 000.0
06:00:01,23/10/22,00051740, 000.0
14:00:01,23/10/22,00051617, 000.0
22:00:01,23/10/22,00051494, 000.0
06:00:01,24/10/22,00051576, 000.0
14:00:01,24/10/22,00051576, 000.0
22:00:01,24/10/22,00051576, 000.0
06:00:01,25/10/22,00051535, 000.0
14:00:01,25/10/22,00051535, 000.0
22:00:01,25/10/22,00051658, 000.0
06:00:01,26/10/22,00051781, 000.0
14:00:01,26/10/22,00051576, 000.0
22:00:01,26/10/22,00051658, 000.0
06:00:01,27/10/22,00051535, 000.0
14:00:01,27/10/22,00051535, 000.0
22:00:01,27/10/22,00051617, 000.0
06:00:01,28/10/22,00051740, 000.0
14:00:01,28/10/22,00051740, 000.0
22:00:01,28/10/22,00051453, 000.0
06:00:01,29/10/22,00051576, 000.0
14:00:01,29/10/22,00051699, 000.0
22:00:01,29/10/22,00051822, 000.0
06:00:01,30/10/22,00051699, 000.0
14:00:01,30/10/22,00051658, 000.0
22:00:01,30/10/22,00051617, 000.0
06:00:01,31/10/22,00051535, 000.0
14:00:01,31/10/22,00051412, 000.0
22:00:01,31/10/22,00051535, 000.0
06:00:01,01/11/22,00051740, 000.0
14:00:01,01/11/22,00051740, 000.0
22:00:01,01/11/22,00051535, 000.0
06:00:01,02/11/22,00051658, 000.0
14:00:01,02/11/22,00051453, 000.0
22:00:01,02/11/22,00051576, 000.0
06:00:01,03/11/22,00051494, 000.0
14:00:01,03/11/22,00051576, 000.0
22:00:01,03/11/22,00051494, 000.0
06:00:01,04/11/22,00051453, 000.0
14:00:01,04/11/22,00051576, 000.0
22:00:01,04/11/22,00051412, 000.0
06:00:01,05/11/22,00051617, 000.0
14:00:01,05/11/22,00051576, 000.0
22:00:01,05/11/22,00051617, 000.0
06:00:01,06/11/22,00051617, 000.0
14:00:01,06/11/22,00051617, 000.0
22:00:01,06/11/22,00051617, 000.0
06:00:01,07/11/22,00051535, 000.0
14:00:01,07/11/22,00051494, 000.0
22:00:01,07/11/22,00051658, 000.0
06:00:01,08/11/22,00051740, 000.0
14:00:01,08/11/22,00051658, 000.0
22:00:01,08/11/22,00051576, 000.0
06:00:01,09/11/22,00051494, 000.0
14:00:01,09/11/22,00051412, 000.0
22:00:01,09/11/22,00051658, 000.0
06:00:01,10/11/22,00051494, 000.0
14:00:01,10/11/22,00051781, 000.0
20:48:03,10/11/22,00051535, 000.0
04:00:01,11/11/22,00051617, 000.0
12:00:01,11/11/22,00051617, 000.0
20:00:01,11/11/22,00051576, 000.0
04:00:01,12/11/22,00051740, 000.0
12:00:01,12/11/22,00051658, 000.0
20:00:01,12/11/22,00051412, 000.0
04:00:01,13/11/22,00051658, 000.0
12:00:01,13/11/22,00051740, 000.0
20:00:01,13/11/22,00051535, 000.0
04:00:01,14/11/22,00051453, 000.0
12:00:01,14/11/22,00051699, 000.0
20:00:01,14/11/22,00051658, 000.0
04:00:01,15/11/22,00051617, 000.0
12:00:01,15/11/22,00051576, 000.0
20:00:01,15/11/22,00051617, 000.0
04:00:01,16/11/22,00051412, 000.0
12:00:01,16/11/22,00051576, 000.0
20:00:01,16/11/22,00051740, 000.0
04:00:01,17/11/22,00051617, 000.0
12:00:01,17/11/22,00051699, 000.0
20:00:01,17/11/22,00051658, 000.0
04:00:01,18/11/22,00051658, 000.0
12:00:01,18/11/22,00051699, 000.0
20:00:01,18/11/22,00051781, 000.0
04:00:01,19/11/22,00051781, 000.0
