$02
01
Handheld device version M2.00.05
Sat Nov 11 03:41:43 2023
DCU3ER Id: 010552  [Probe Type; 11 FLUSH / BAND 020]
Time, Date, Loss (nm), Temperature (C)
07:00:03,11/03/23,00000000, 000.0
15:00:19,11/03/23,00284733, 000.0
23:00:01,11/03/23,00034075, 000.0
07:00:01,12/03/23,-0022992, 000.0
15:00:01,12/03/23,-0010579, 000.0
23:00:01,12/03/23,00001216, 000.0
07:00:01,13/03/23,-0004407, 000.0
20:00:01,13/03/23,00032434, 000.0
04:00:01,14/03/23,00023591, 000.0
12:00:01,14/03/23,00057885, 000.0
20:00:01,14/03/23,00032790, 000.0
04:00:01,15/03/23,00030915, 000.0
12:00:01,15/03/23,00232870, 000.0
20:00:01,15/03/23,00239643, 000.0
04:00:01,16/03/23,00041131, 000.0
12:00:01,16/03/23,00042030, 000.0
20:00:01,16/03/23,00043309, 000.0
04:00:01,17/03/23,00042969, 000.0
12:00:01,17/03/23,00043607, 000.0
20:00:01,17/03/23,00043776, 000.0
04:00:01,18/03/23,00044454, 000.0
12:00:01,18/03/23,00044200, 000.0
20:00:01,18/03/23,00044834, 000.0
04:00:01,19/03/23,00044539, 000.0
12:00:01,19/03/23,00045130, 000.0
20:00:01,19/03/23,00044412, 000.0
04:00:01,20/03/23,00045425, 000.0
12:00:01,20/03/23,00044454, 000.0
20:00:01,20/03/23,00044200, 000.0
04:00:01,21/03/23,00044665, 000.0
12:00:01,21/03/23,00044285, 000.0
20:00:01,21/03/23,00045762, 000.0
04:00:01,22/03/23,00045762, 000.0
12:00:01,22/03/23,00045509, 000.0
20:00:01,22/03/23,00045635, 000.0
04:00:01,23/03/23,00045846, 000.0
12:00:01,23/03/23,00045298, 000.0
20:00:01,23/03/23,00045720, 000.0
04:00:01,24/03/23,00045972, 000.0
12:00:01,24/03/23,00046098, 000.0
20:00:01,24/03/23,00046182, 000.0
04:00:01,25/03/23,00045635, 000.0
12:00:01,25/03/23,00046224, 000.0
20:00:01,25/03/23,00045888, 000.0
04:00:01,26/03/23,00046308, 000.0
12:00:01,26/03/23,00046014, 000.0
20:00:01,26/03/23,00046685, 000.0
04:00:01,27/03/23,00046936, 000.0
12:00:01,27/03/23,00046811, 000.0
20:00:01,27/03/23,00046978, 000.0
04:00:01,28/03/23,00047354, 000.0
12:00:01,28/03/23,00047855, 000.0
20:00:01,28/03/23,00047062, 000.0
04:00:01,29/03/23,00048105, 000.0
12:00:01,29/03/23,00047521, 000.0
20:00:01,29/03/23,00046936, 000.0
04:00:01,30/03/23,00046224, 000.0
12:00:01,30/03/23,00048313, 000.0
20:00:01,30/03/23,00048521, 000.0
04:00:01,31/03/23,00048978, 000.0
12:00:01,31/03/23,00049144, 000.0
20:00:01,31/03/23,00049558, 000.0
04:00:01,01/04/23,00049309, 000.0
12:00:01,01/04/23,00049226, 000.0
20:00:01,01/04/23,00049806, 000.0
04:00:01,02/04/23,00049392, 000.0
12:00:01,02/04/23,00049516, 000.0
20:00:01,02/04/23,00049392, 000.0
04:00:01,03/04/23,00049888, 000.0
12:00:01,03/04/23,00049806, 000.0
20:00:01,03/04/23,00049558, 000.0
04:00:01,04/04/23,00049930, 000.0
12:00:01,04/04/23,00049723, 000.0
20:00:01,04/04/23,00049847, 000.0
04:00:01,05/04/23,00049640, 000.0
12:00:01,05/04/23,00049185, 000.0
20:00:01,05/04/23,00049723, 000.0
04:00:01,06/04/23,00049723, 000.0
12:00:01,06/04/23,00049888, 000.0
20:00:01,06/04/23,00049723, 000.0
04:00:01,07/04/23,00049806, 000.0
12:00:01,07/04/23,00049640, 000.0
20:00:01,07/04/23,00049682, 000.0
04:00:01,08/04/23,00049723, 000.0
12:00:01,08/04/23,00049640, 000.0
20:00:01,08/04/23,00049764, 000.0
04:00:01,09/04/23,00049764, 000.0
12:00:01,09/04/23,00049682, 000.0
20:00:01,09/04/23,00049847, 000.0
04:00:01,10/04/23,00050054, 000.0
14:00:01,10/04/23,00049888, 000.0
22:00:01,10/04/23,00050054, 000.0
06:00:01,11/04/23,00049847, 000.0
14:00:01,11/04/23,00049930, 000.0
22:00:01,11/04/23,00050260, 000.0
06:00:01,12/04/23,00050012, 000.0
14:00:01,12/04/23,00050012, 000.0
22:00:01,12/04/23,00050095, 000.0
06:00:01,13/04/23,00049888, 000.0
14:00:01,13/04/23,00050177, 000.0
22:00:01,13/04/23,00050054, 000.0
06:00:01,14/04/23,00049847, 000.0
14:00:01,14/04/23,00050177, 000.0
22:00:01,14/04/23,00049888, 000.0
06:00:01,15/04/23,00050095, 000.0
14:00:01,15/04/23,00050054, 000.0
22:00:01,15/04/23,00050301, 000.0
06:00:01,16/04/23,00050219, 000.0
14:00:01,16/04/23,00050177, 000.0
22:00:01,16/04/23,00049971, 000.0
06:00:01,17/04/23,00050054, 000.0
14:00:01,17/04/23,00050012, 000.0
22:00:01,17/04/23,00050136, 000.0
06:00:01,18/04/23,00050301, 000.0
14:00:01,18/04/23,00050301, 000.0
22:00:01,18/04/23,00050219, 000.0
06:00:01,19/04/23,00050342, 000.0
14:00:01,19/04/23,00050260, 000.0
22:00:01,19/04/23,00050177, 000.0
06:00:01,20/04/23,00049930, 000.0
14:00:01,20/04/23,00049847, 000.0
22:00:01,20/04/23,00050136, 000.0
06:00:01,21/04/23,00050177, 000.0
14:00:01,21/04/23,00050301, 000.0
22:00:01,21/04/23,00050136, 000.0
06:00:01,22/04/23,00049888, 000.0
14:00:01,22/04/23,00050384, 000.0
22:00:01,22/04/23,00050260, 000.0
06:00:01,23/04/23,00050301, 000.0
14:00:01,23/04/23,00050095, 000.0
22:00:01,23/04/23,00050136, 000.0
06:00:01,24/04/23,00050466, 000.0
14:00:01,24/04/23,00050054, 000.0
22:00:01,24/04/23,00050301, 000.0
06:00:01,25/04/23,00050177, 000.0
14:00:01,25/04/23,00050342, 000.0
22:00:01,25/04/23,00050260, 000.0
06:00:01,26/04/23,00050425, 000.0
14:00:01,26/04/23,00050095, 000.0
22:00:01,26/04/23,00050384, 000.0
06:00:01,27/04/23,00050384, 000.0
14:00:01,27/04/23,00050548, 000.0
22:00:01,27/04/23,00050507, 000.0
06:00:01,28/04/23,00050466, 000.0
14:00:01,28/04/23,00050466, 000.0
22:00:01,28/04/23,00050301, 000.0
06:00:01,29/04/23,00050384, 000.0
14:00:01,29/04/23,00050754, 000.0
22:00:01,29/04/23,00050590, 000.0
06:00:01,30/04/23,00050672, 000.0
14:00:01,30/04/23,00050631, 000.0
22:00:01,30/04/23,00050795, 000.0
06:00:01,01/05/23,00050795, 000.0
14:00:01,01/05/23,00050713, 000.0
22:00:01,01/05/23,00050590, 000.0
06:00:01,02/05/23,00050425, 000.0
14:00:01,02/05/23,00050960, 000.0
22:00:01,02/05/23,00050837, 000.0
06:00:01,03/05/23,00050713, 000.0
14:00:01,03/05/23,00050837, 000.0
22:00:01,03/05/23,00050919, 000.0
06:00:01,04/05/23,00050754, 000.0
